SampleID	groupID	group
MG_515	MG_515	MG_515
MG_516	MG_516	MG_516
MG_517	MG_517	MG_517
MG_518	MG_518	MG_518
MG_519	MG_519	MG_519
MG_520	MG_520	MG_520
MG_521	MG_521	MG_521
MG_523	MG_523	MG_523
MG_524	MG_524	MG_524
MG_525	MG_525	MG_525
MG_526	MG_526	MG_526
MG_527	MG_527	MG_527
MG_529	MG_529	MG_529
MG_530	MG_530	MG_530
MG_531	MG_531	MG_531
MG_532	MG_532	MG_532
MG_533	MG_533	MG_533
MG_534	MG_534	MG_534
MG_535	MG_535	MG_535
MG_536	MG_536	MG_536
MG_537	MG_537	MG_537
MG_538	MG_538	MG_538
MG_539	MG_539	MG_539
MG_540	MG_540	MG_540
MG_541	MG_541	MG_541
MG_542	MG_542	MG_542
MG_543	MG_543	MG_543
MG_544	MG_544	MG_544
MG_545	MG_545	MG_545
MG_546	MG_546	MG_546
MG_547	MG_547	MG_547
MG_548	MG_548	MG_548
MG_549	MG_549	MG_549
MG_550	MG_550	MG_550
MG_551	MG_551	MG_551
MG_553	MG_553	MG_553
MG_554	MG_554	MG_554
MG_555	MG_555	MG_555
MG_557	MG_557	MG_557
MG_558	MG_558	MG_558
MG_559	MG_559	MG_559
MG_560	MG_560	MG_560
MG_561	MG_561	MG_561
MG_562	MG_562	MG_562
MG_563	MG_563	MG_563
MG_564	MG_564	MG_564
MG_565	MG_565	MG_565
MG_566	MG_566	MG_566
MG_567	MG_567	MG_567
MG_570	MG_570	MG_570
MG_571	MG_571	MG_571
MG_572	MG_572	MG_572
MG_573	MG_573	MG_573
MG_577	MG_577	MG_577
MG_578	MG_578	MG_578
MG_580	MG_580	MG_580
MG_581	MG_581	MG_581
MG_582	MG_582	MG_582
MG_583	MG_583	MG_583
MG_584	MG_584	MG_584
MG_585	MG_585	MG_585
MG_586	MG_586	MG_586
MG_587	MG_587	MG_587
MG_588	MG_588	MG_588
MG_589	MG_589	MG_589
MG_590	MG_590	MG_590
MG_592	MG_592	MG_592
MG_593	MG_593	MG_593
MG_594	MG_594	MG_594
MG_595	MG_595	MG_595
MG_597	MG_597	MG_597
MG_599	MG_599	MG_599
MG_601	MG_601	MG_601
MG_603	MG_603	MG_603
MG_604	MG_604	MG_604
MG_605	MG_605	MG_605
MG_607	MG_607	MG_607
MG_609	MG_609	MG_609
MG_611	MG_611	MG_611
MG_613	MG_613	MG_613
MG_616	MG_616	MG_616
MG_618	MG_618	MG_618
MG_619	MG_619	MG_619
MG_623	MG_623	MG_623
MG_624	MG_624	MG_624
MG_625	MG_625	MG_625
MG_626	MG_626	MG_626
MG_627	MG_627	MG_627
MG_629	MG_629	MG_629
MG_632	MG_632	MG_632
MG_633	MG_633	MG_633
MG_634	MG_634	MG_634
MG_635	MG_635	MG_635
MG_636	MG_636	MG_636
MG_637	MG_637	MG_637
MG_638	MG_638	MG_638
MG_639	MG_639	MG_639
MG_641	MG_641	MG_641
MG_642	MG_642	MG_642
MG_643	MG_643	MG_643
MG_644	MG_644	MG_644
MG_645	MG_645	MG_645
MG_647	MG_647	MG_647
MG_648	MG_648	MG_648
MG_649	MG_649	MG_649
MG_650	MG_650	MG_650
MG_652	MG_652	MG_652
MG_653	MG_653	MG_653
MG_654	MG_654	MG_654
MG_655	MG_655	MG_655
MG_656	MG_656	MG_656
MG_657	MG_657	MG_657
MG_658	MG_658	MG_658
MG_659	MG_659	MG_659
MG_661	MG_661	MG_661
MG_662	MG_662	MG_662
MG_663	MG_663	MG_663
MG_664	MG_664	MG_664
MG_665	MG_665	MG_665
MG_666	MG_666	MG_666
MG_667	MG_667	MG_667
MG_668	MG_668	MG_668
MG_669	MG_669	MG_669
MG_670	MG_670	MG_670
MG_671	MG_671	MG_671
MG_672	MG_672	MG_672
MG_673	MG_673	MG_673
MG_674	MG_674	MG_674
MG_676	MG_676	MG_676
MG_677	MG_677	MG_677
MG_678	MG_678	MG_678
MG_679	MG_679	MG_679
MG_680	MG_680	MG_680
MG_681	MG_681	MG_681
MG_683	MG_683	MG_683
MG_685	MG_685	MG_685
MG_686	MG_686	MG_686
MG_687	MG_687	MG_687
MG_688	MG_688	MG_688
MG_689	MG_689	MG_689
MG_691	MG_691	MG_691
MG_692	MG_692	MG_692
MG_693	MG_693	MG_693
MG_694	MG_694	MG_694
MG_695	MG_695	MG_695
MG_696	MG_696	MG_696
MG_697	MG_697	MG_697
MG_698	MG_698	MG_698
MG_699	MG_699	MG_699
MG_700	MG_700	MG_700
MG_701	MG_701	MG_701
MG_702	MG_702	MG_702
MG_703	MG_703	MG_703
MG_705	MG_705	MG_705
MG_706	MG_706	MG_706
MG_707	MG_707	MG_707
MG_708	MG_708	MG_708
MG_710	MG_710	MG_710
MG_711	MG_711	MG_711
MG_712	MG_712	MG_712
MG_713	MG_713	MG_713
MG_714	MG_714	MG_714
MG_715	MG_715	MG_715
MG_716	MG_716	MG_716
MG_717	MG_717	MG_717
MG_718	MG_718	MG_718
MG_719	MG_719	MG_719
MG_720	MG_720	MG_720
MG_723	MG_723	MG_723
MG_724	MG_724	MG_724
MG_726	MG_726	MG_726
MG_727	MG_727	MG_727
MG_728	MG_728	MG_728
MG_729	MG_729	MG_729
MG_730	MG_730	MG_730
MG_734	MG_734	MG_734
MG_737	MG_737	MG_737
MG_738	MG_738	MG_738
MG_739	MG_739	MG_739
MG_740	MG_740	MG_740
MG_741	MG_741	MG_741
MG_743	MG_743	MG_743
MG_744	MG_744	MG_744
MG_746	MG_746	MG_746
MG_747	MG_747	MG_747
MG_748	MG_748	MG_748
MG_749	MG_749	MG_749
MG_751	MG_751	MG_751
MG_752	MG_752	MG_752
MG_753	MG_753	MG_753
MG_754	MG_754	MG_754
MG_755	MG_755	MG_755
MG_756	MG_756	MG_756
MG_757	MG_757	MG_757
MG_758	MG_758	MG_758
MG_759	MG_759	MG_759
MG_761	MG_761	MG_761
MG_764	MG_764	MG_764
MG_765	MG_765	MG_765
MG_766	MG_766	MG_766
MG_767	MG_767	MG_767
MG_768	MG_768	MG_768
MG_769	MG_769	MG_769
MG_772	MG_772	MG_772
MG_773	MG_773	MG_773
MG_774	MG_774	MG_774
MG_775	MG_775	MG_775
MG_776	MG_776	MG_776
MG_777	MG_777	MG_777
MG_778	MG_778	MG_778
MG_780	MG_780	MG_780
MG_781	MG_781	MG_781
MG_782	MG_782	MG_782
MG_784	MG_784	MG_784
MG_786	MG_786	MG_786
MG_787	MG_787	MG_787
MG_789	MG_789	MG_789
MG_790	MG_790	MG_790
MG_791	MG_791	MG_791
MG_792	MG_792	MG_792
MG_794	MG_794	MG_794
MG_795	MG_795	MG_795
MG_796	MG_796	MG_796
MG_797	MG_797	MG_797
