SampleID	groupID	group
MG_798	MG_798	MG_798
MG_799	MG_799	MG_799
MG_800	MG_800	MG_800
MG_801	MG_801	MG_801
MG_802	MG_802	MG_802
MG_803	MG_803	MG_803
MG_804	MG_804	MG_804
MG_805	MG_805	MG_805
MG_807	MG_807	MG_807
MG_808	MG_808	MG_808
MG_815	MG_815	MG_815
MG_819	MG_819	MG_819
MG_823	MG_823	MG_823
MG_824	MG_824	MG_824
MG_825	MG_825	MG_825
MG_826	MG_826	MG_826
MG_827	MG_827	MG_827
MG_828	MG_828	MG_828
MG_830	MG_830	MG_830
MG_831	MG_831	MG_831
MG_834	MG_834	MG_834
MG_836	MG_836	MG_836
MG_837	MG_837	MG_837
MG_838	MG_838	MG_838
MG_839	MG_839	MG_839
MG_840	MG_840	MG_840
MG_841	MG_841	MG_841
MG_843	MG_843	MG_843
MG_844	MG_844	MG_844
MG_845	MG_845	MG_845
MG_846	MG_846	MG_846
MG_847	MG_847	MG_847
MG_848	MG_848	MG_848
MG_849	MG_849	MG_849
MG_850	MG_850	MG_850
MG_851	MG_851	MG_851
MG_852	MG_852	MG_852
MG_853	MG_853	MG_853
MG_854	MG_854	MG_854
MG_856	MG_856	MG_856
MG_857	MG_857	MG_857
MG_858	MG_858	MG_858
MG_859	MG_859	MG_859
MG_861	MG_861	MG_861
MG_862	MG_862	MG_862
MG_863	MG_863	MG_863
MG_864	MG_864	MG_864
MG_865	MG_865	MG_865
MG_866	MG_866	MG_866
MG_867	MG_867	MG_867
MG_868	MG_868	MG_868
MG_869	MG_869	MG_869
MG_871	MG_871	MG_871
MG_872	MG_872	MG_872
MG_873	MG_873	MG_873
MG_874	MG_874	MG_874
MG_875	MG_875	MG_875
MG_876	MG_876	MG_876
MG_877	MG_877	MG_877
MG_879	MG_879	MG_879
MG_880	MG_880	MG_880
MG_881	MG_881	MG_881
MG_883	MG_883	MG_883
MG_884	MG_884	MG_884
MG_886	MG_886	MG_886
MG_887	MG_887	MG_887
MG_888	MG_888	MG_888
MG_889	MG_889	MG_889
MG_892	MG_892	MG_892
MG_893	MG_893	MG_893
MG_894	MG_894	MG_894
MG_897	MG_897	MG_897
MG_899	MG_899	MG_899
MG_900	MG_900	MG_900
MG_901	MG_901	MG_901
MG_902	MG_902	MG_902
MG_903	MG_903	MG_903
MG_904	MG_904	MG_904
MG_905	MG_905	MG_905
MG_906	MG_906	MG_906
MG_907	MG_907	MG_907
MG_908	MG_908	MG_908
MG_910	MG_910	MG_910
MG_912	MG_912	MG_912
MG_913	MG_913	MG_913
MG_914	MG_914	MG_914
MG_915	MG_915	MG_915
MG_918	MG_918	MG_918
MG_919	MG_919	MG_919
MG_920	MG_920	MG_920
MG_921	MG_921	MG_921
MG_922	MG_922	MG_922
MG_924	MG_924	MG_924
MG_926	MG_926	MG_926
MG_929	MG_929	MG_929
MG_930	MG_930	MG_930
MG_931	MG_931	MG_931
MG_932	MG_932	MG_932
MG_933	MG_933	MG_933
MG_934	MG_934	MG_934
MG_935	MG_935	MG_935
MG_936	MG_936	MG_936
MG_937	MG_937	MG_937
MG_938	MG_938	MG_938
MG_939	MG_939	MG_939
MG_940	MG_940	MG_940
MG_941	MG_941	MG_941
MG_942	MG_942	MG_942
MG_943	MG_943	MG_943
MG_944	MG_944	MG_944
MG_945	MG_945	MG_945
MG_948	MG_948	MG_948
MG_949	MG_949	MG_949
MG_950	MG_950	MG_950
MG_951	MG_951	MG_951
MG_953	MG_953	MG_953
MG_954	MG_954	MG_954
MG_955	MG_955	MG_955
MG_956	MG_956	MG_956
MG_957	MG_957	MG_957
MG_958	MG_958	MG_958
MG_960	MG_960	MG_960
MG_961	MG_961	MG_961
MG_963	MG_963	MG_963
MG_964	MG_964	MG_964
MG_965	MG_965	MG_965
MG_966	MG_966	MG_966
MG_967	MG_967	MG_967
MG_968	MG_968	MG_968
MG_969	MG_969	MG_969
MG_970	MG_970	MG_970
MG_971	MG_971	MG_971
MG_972	MG_972	MG_972
MG_973	MG_973	MG_973
MG_974	MG_974	MG_974
MG_975	MG_975	MG_975
MG_978	MG_978	MG_978
MG_979	MG_979	MG_979
MG_981	MG_981	MG_981
MG_982	MG_982	MG_982
MG_983	MG_983	MG_983
MG_984	MG_984	MG_984
MG_985	MG_985	MG_985
MG_988	MG_988	MG_988
MG_989	MG_989	MG_989
MG_990	MG_990	MG_990
MG_995	MG_995	MG_995
MG_997	MG_997	MG_997
MG_998	MG_998	MG_998
MG_999	MG_999	MG_999
MG_1001	MG_1001	MG_1001
MG_1002	MG_1002	MG_1002
MG_1004	MG_1004	MG_1004
MG_1005	MG_1005	MG_1005
MG_1006	MG_1006	MG_1006
MG_1007	MG_1007	MG_1007
MG_1008	MG_1008	MG_1008
MG_1009	MG_1009	MG_1009
MG_1010	MG_1010	MG_1010
MG_1011	MG_1011	MG_1011
MG_1012	MG_1012	MG_1012
MG_1013	MG_1013	MG_1013
MG_1014	MG_1014	MG_1014
MG_1020	MG_1020	MG_1020
MG_1024	MG_1024	MG_1024
MG_1025	MG_1025	MG_1025
MG_1026	MG_1026	MG_1026
MG_1027	MG_1027	MG_1027
MG_1028	MG_1028	MG_1028
MG_1029	MG_1029	MG_1029
MG_1030	MG_1030	MG_1030
MG_1031	MG_1031	MG_1031
MG_1032	MG_1032	MG_1032
MG_1034	MG_1034	MG_1034
MG_1035	MG_1035	MG_1035
MG_1036	MG_1036	MG_1036
MG_1037	MG_1037	MG_1037
MG_1038	MG_1038	MG_1038
MG_1039	MG_1039	MG_1039
MG_1040	MG_1040	MG_1040
MG_1041	MG_1041	MG_1041
MG_1042	MG_1042	MG_1042
MG_1043	MG_1043	MG_1043
MG_1044	MG_1044	MG_1044
MG_1045	MG_1045	MG_1045
MG_1046	MG_1046	MG_1046
MG_1047	MG_1047	MG_1047
MG_1048	MG_1048	MG_1048
MG_1049	MG_1049	MG_1049
MG_1050	MG_1050	MG_1050
MG_1051	MG_1051	MG_1051
MG_1052	MG_1052	MG_1052
MG_1053	MG_1053	MG_1053
MG_1054	MG_1054	MG_1054
MG_1055	MG_1055	MG_1055
MG_1056	MG_1056	MG_1056
MG_1058	MG_1058	MG_1058
MG_1060	MG_1060	MG_1060
MG_1062	MG_1062	MG_1062
MG_1063	MG_1063	MG_1063
MG_1064	MG_1064	MG_1064
MG_1065	MG_1065	MG_1065
MG_1066	MG_1066	MG_1066
MG_1067	MG_1067	MG_1067
MG_1068	MG_1068	MG_1068
MG_1069	MG_1069	MG_1069
MG_1070	MG_1070	MG_1070
MG_1071	MG_1071	MG_1071
MG_1072	MG_1072	MG_1072
MG_1073	MG_1073	MG_1073
MG_1074	MG_1074	MG_1074
MG_1075	MG_1075	MG_1075
MG_1076	MG_1076	MG_1076
MG_1077	MG_1077	MG_1077
MG_1078	MG_1078	MG_1078
MG_1079	MG_1079	MG_1079
MG_1080	MG_1080	MG_1080
MG_1081	MG_1081	MG_1081
MG_1082	MG_1082	MG_1082
MG_1083	MG_1083	MG_1083
MG_1085	MG_1085	MG_1085
MG_1088	MG_1088	MG_1088
MG_1089	MG_1089	MG_1089
MG_1090	MG_1090	MG_1090
MG_1091	MG_1091	MG_1091
MG_1092	MG_1092	MG_1092
MG_1094	MG_1094	MG_1094
MG_1095	MG_1095	MG_1095
MG_1096	MG_1096	MG_1096
MG_1098	MG_1098	MG_1098
MG_1099	MG_1099	MG_1099
MG_1101	MG_1101	MG_1101
MG_1102	MG_1102	MG_1102
MG_1103	MG_1103	MG_1103
MG_1104	MG_1104	MG_1104
MG_1105	MG_1105	MG_1105
MG_1106	MG_1106	MG_1106
MG_1107	MG_1107	MG_1107
MG_1108	MG_1108	MG_1108
MG_1109	MG_1109	MG_1109
MG_1110	MG_1110	MG_1110
MG_1111	MG_1111	MG_1111
MG_1112	MG_1112	MG_1112
MG_1113	MG_1113	MG_1113
MG_1114	MG_1114	MG_1114
MG_1115	MG_1115	MG_1115
MG_1116	MG_1116	MG_1116
MG_1117	MG_1117	MG_1117
MG_1118	MG_1118	MG_1118
MG_1119	MG_1119	MG_1119
MG_1120	MG_1120	MG_1120
MG_1121	MG_1121	MG_1121
MG_1123	MG_1123	MG_1123
MG_1124	MG_1124	MG_1124
MG_1125	MG_1125	MG_1125
MG_1126	MG_1126	MG_1126
MG_1127	MG_1127	MG_1127
MG_1128	MG_1128	MG_1128
MG_1129	MG_1129	MG_1129
MG_1131	MG_1131	MG_1131
MG_1132	MG_1132	MG_1132
MG_1133	MG_1133	MG_1133
MG_1134	MG_1134	MG_1134
MG_1135	MG_1135	MG_1135
MG_1136	MG_1136	MG_1136
MG_1138	MG_1138	MG_1138
MG_1139	MG_1139	MG_1139
MG_1140	MG_1140	MG_1140
MG_1141	MG_1141	MG_1141
MG_1142	MG_1142	MG_1142
MG_1143	MG_1143	MG_1143
MG_1144	MG_1144	MG_1144
MG_1146	MG_1146	MG_1146
MG_1147	MG_1147	MG_1147
MG_1148	MG_1148	MG_1148
MG_1149	MG_1149	MG_1149
MG_1150	MG_1150	MG_1150
MG_1151	MG_1151	MG_1151
MG_1152	MG_1152	MG_1152
MG_1153	MG_1153	MG_1153
MG_1154	MG_1154	MG_1154
MG_1155	MG_1155	MG_1155
MG_1156	MG_1156	MG_1156
MG_1157	MG_1157	MG_1157
MG_1158	MG_1158	MG_1158
MG_1159	MG_1159	MG_1159
MG_1160	MG_1160	MG_1160
MG_1162	MG_1162	MG_1162
MG_1163	MG_1163	MG_1163
MG_1164	MG_1164	MG_1164
MG_1165	MG_1165	MG_1165
MG_1168	MG_1168	MG_1168
MG_1169	MG_1169	MG_1169
MG_1170	MG_1170	MG_1170
MG_1172	MG_1172	MG_1172
MG_1173	MG_1173	MG_1173
MG_1174	MG_1174	MG_1174
MG_1175	MG_1175	MG_1175
MG_1176	MG_1176	MG_1176
MG_1177	MG_1177	MG_1177
MG_1178	MG_1178	MG_1178
MG_1179	MG_1179	MG_1179
MG_1181	MG_1181	MG_1181
MG_1184	MG_1184	MG_1184
MG_1185	MG_1185	MG_1185
MG_1186	MG_1186	MG_1186
MG_1187	MG_1187	MG_1187
MG_1188	MG_1188	MG_1188
MG_1189	MG_1189	MG_1189
MG_1190	MG_1190	MG_1190
MG_1191	MG_1191	MG_1191
MG_1192	MG_1192	MG_1192
MG_1194	MG_1194	MG_1194
MG_1196	MG_1196	MG_1196
MG_1197	MG_1197	MG_1197
MG_1198	MG_1198	MG_1198
MG_1199	MG_1199	MG_1199
MG_1200	MG_1200	MG_1200
MG_1201	MG_1201	MG_1201
MG_1202	MG_1202	MG_1202
MG_1203	MG_1203	MG_1203
MG_1204	MG_1204	MG_1204
MG_1206	MG_1206	MG_1206
MG_1207	MG_1207	MG_1207
MG_1208	MG_1208	MG_1208
MG_1209	MG_1209	MG_1209
MG_1210	MG_1210	MG_1210
MG_1211	MG_1211	MG_1211
MG_1212	MG_1212	MG_1212
MG_1213	MG_1213	MG_1213
MG_1215	MG_1215	MG_1215
MG_1216	MG_1216	MG_1216
MG_1217	MG_1217	MG_1217
MG_1218	MG_1218	MG_1218
MG_1219	MG_1219	MG_1219
MG_52	MG_52	MG_52
MG_56	MG_56	MG_56
MG_68	MG_68	MG_68
MG_77	MG_77	MG_77
MG_80	MG_80	MG_80
MG_90	MG_90	MG_90
MG_96	MG_96	MG_96
MG_107	MG_107	MG_107
MG_113	MG_113	MG_113
MG_115	MG_115	MG_115
MG_118	MG_118	MG_118
MG_119	MG_119	MG_119
MG_120	MG_120	MG_120
MG_127	MG_127	MG_127
MG_128	MG_128	MG_128
MG_129	MG_129	MG_129
MG_134	MG_134	MG_134
MG_136	MG_136	MG_136
MG_146	MG_146	MG_146
MG_147	MG_147	MG_147
MG_148	MG_148	MG_148
MG_149	MG_149	MG_149
MG_154	MG_154	MG_154
MG_156	MG_156	MG_156
MG_161	MG_161	MG_161
MG_162	MG_162	MG_162
MG_163	MG_163	MG_163
MG_168	MG_168	MG_168
MG_183	MG_183	MG_183
MG_184	MG_184	MG_184
MG_199	MG_199	MG_199
MG_204	MG_204	MG_204
MG_212	MG_212	MG_212
MG_213	MG_213	MG_213
MG_218	MG_218	MG_218
MG_219	MG_219	MG_219
MG_283	MG_283	MG_283
MG_288	MG_288	MG_288
MG_294	MG_294	MG_294
MG_295	MG_295	MG_295
MG_298	MG_298	MG_298
MG_305	MG_305	MG_305
MG_307	MG_307	MG_307
MG_316	MG_316	MG_316
MG_324	MG_324	MG_324
MG_331	MG_331	MG_331
MG_338	MG_338	MG_338
MG_1220	MG_1220	MG_1220
MG_1221	MG_1221	MG_1221
MG_1222	MG_1222	MG_1222
MG_1223	MG_1223	MG_1223
MG_1225	MG_1225	MG_1225
MG_1226	MG_1226	MG_1226
MG_1227	MG_1227	MG_1227
MG_1228	MG_1228	MG_1228
MG_1229	MG_1229	MG_1229
MG_1230	MG_1230	MG_1230
MG_1231	MG_1231	MG_1231
MG_1232	MG_1232	MG_1232
MG_1233	MG_1233	MG_1233
MG_1234	MG_1234	MG_1234
MG_1235	MG_1235	MG_1235
MG_1237	MG_1237	MG_1237
MG_1238	MG_1238	MG_1238
MG_1239	MG_1239	MG_1239
MG_1240	MG_1240	MG_1240
MG_1241	MG_1241	MG_1241
MG_1244	MG_1244	MG_1244
MG_1247	MG_1247	MG_1247
MG_1248	MG_1248	MG_1248
MG_1249	MG_1249	MG_1249
MG_1250	MG_1250	MG_1250
MG_1251	MG_1251	MG_1251
MG_1253	MG_1253	MG_1253
MG_1254	MG_1254	MG_1254
MG_1255	MG_1255	MG_1255
MG_1257	MG_1257	MG_1257
MG_1258	MG_1258	MG_1258
MG_1259	MG_1259	MG_1259
MG_1260	MG_1260	MG_1260
MG_1262	MG_1262	MG_1262
MG_1263	MG_1263	MG_1263
MG_1264	MG_1264	MG_1264
MG_1265	MG_1265	MG_1265
MG_1266	MG_1266	MG_1266
MG_1267	MG_1267	MG_1267
MG_1268	MG_1268	MG_1268
MG_1269	MG_1269	MG_1269
MG_1270	MG_1270	MG_1270
MG_1271	MG_1271	MG_1271
MG_1273	MG_1273	MG_1273
MG_1275	MG_1275	MG_1275
MG_1276	MG_1276	MG_1276
MG_1277	MG_1277	MG_1277
MG_1278	MG_1278	MG_1278
MG_1279	MG_1279	MG_1279
MG_1280	MG_1280	MG_1280
MG_1282	MG_1282	MG_1282
MG_1283	MG_1283	MG_1283
MG_1284	MG_1284	MG_1284
MG_1285	MG_1285	MG_1285
MG_1286	MG_1286	MG_1286
MG_1287	MG_1287	MG_1287
MG_1289	MG_1289	MG_1289
MG_1291	MG_1291	MG_1291
MG_1292	MG_1292	MG_1292
MG_1293	MG_1293	MG_1293
MG_1294	MG_1294	MG_1294
MG_1295	MG_1295	MG_1295
MG_1296	MG_1296	MG_1296
MG_1298	MG_1298	MG_1298
MG_1299	MG_1299	MG_1299
MG_1301	MG_1301	MG_1301
MG_1302	MG_1302	MG_1302
MG_1304	MG_1304	MG_1304
MG_1305	MG_1305	MG_1305
MG_1306	MG_1306	MG_1306
MG_1308	MG_1308	MG_1308
MG_1309	MG_1309	MG_1309
MG_1310	MG_1310	MG_1310
MG_1311	MG_1311	MG_1311
MG_1312	MG_1312	MG_1312
MG_1313	MG_1313	MG_1313
MG_1314	MG_1314	MG_1314
MG_1316	MG_1316	MG_1316
MG_1317	MG_1317	MG_1317
MG_1318	MG_1318	MG_1318
MG_1319	MG_1319	MG_1319
MG_1320	MG_1320	MG_1320
MG_1322	MG_1322	MG_1322
MG_1323	MG_1323	MG_1323
MG_1324	MG_1324	MG_1324
MG_1325	MG_1325	MG_1325
MG_1326	MG_1326	MG_1326
MG_1327	MG_1327	MG_1327
MG_1328	MG_1328	MG_1328
MG_1329	MG_1329	MG_1329
MG_1331	MG_1331	MG_1331
MG_1332	MG_1332	MG_1332
MG_1333	MG_1333	MG_1333
MG_1334	MG_1334	MG_1334
MG_1335	MG_1335	MG_1335
MG_1336	MG_1336	MG_1336
MG_1338	MG_1338	MG_1338
MG_1340	MG_1340	MG_1340
MG_1341	MG_1341	MG_1341
MG_1343	MG_1343	MG_1343
MG_1344	MG_1344	MG_1344
MG_1345	MG_1345	MG_1345
MG_1394	MG_1394	MG_1394
MG_1395	MG_1395	MG_1395
MG_1396	MG_1396	MG_1396
MG_1397	MG_1397	MG_1397
MG_1398	MG_1398	MG_1398
MG_1399	MG_1399	MG_1399
MG_1400	MG_1400	MG_1400
MG_1401	MG_1401	MG_1401
MG_1402	MG_1402	MG_1402
MG_1404	MG_1404	MG_1404
MG_1406	MG_1406	MG_1406
MG_1408	MG_1408	MG_1408
MG_1409	MG_1409	MG_1409
MG_1410	MG_1410	MG_1410
MG_1411	MG_1411	MG_1411
MG_1412	MG_1412	MG_1412
MG_1415	MG_1415	MG_1415
MG_1416	MG_1416	MG_1416
MG_1417	MG_1417	MG_1417
MG_1418	MG_1418	MG_1418
MG_1419	MG_1419	MG_1419
MG_1420	MG_1420	MG_1420
MG_1426	MG_1426	MG_1426
MG_1427	MG_1427	MG_1427
MG_1428	MG_1428	MG_1428
MG_1429	MG_1429	MG_1429
MG_1430	MG_1430	MG_1430
MG_1431	MG_1431	MG_1431
MG_1432	MG_1432	MG_1432
MG_1433	MG_1433	MG_1433
MG_1434	MG_1434	MG_1434
MG_1435	MG_1435	MG_1435
MG_1437	MG_1437	MG_1437
MG_1439	MG_1439	MG_1439
MG_1440	MG_1440	MG_1440
MG_1441	MG_1441	MG_1441
MG_1442	MG_1442	MG_1442
MG_1443	MG_1443	MG_1443
MG_1444	MG_1444	MG_1444
MG_1445	MG_1445	MG_1445
MG_1446	MG_1446	MG_1446
MG_1447	MG_1447	MG_1447
MG_1449	MG_1449	MG_1449
MG_1453	MG_1453	MG_1453
MG_1454	MG_1454	MG_1454
MG_1456	MG_1456	MG_1456
MG_1457	MG_1457	MG_1457
MG_1458	MG_1458	MG_1458
MG_1460	MG_1460	MG_1460
MG_1463	MG_1463	MG_1463
MG_1464	MG_1464	MG_1464
MG_1466	MG_1466	MG_1466
MG_1467	MG_1467	MG_1467
MG_1468	MG_1468	MG_1468
MG_1469	MG_1469	MG_1469
MG_1470	MG_1470	MG_1470
MG_1471	MG_1471	MG_1471
MG_1473	MG_1473	MG_1473
MG_1474	MG_1474	MG_1474
MG_1475	MG_1475	MG_1475
MG_1476	MG_1476	MG_1476
MG_1477	MG_1477	MG_1477
MG_1478	MG_1478	MG_1478
MG_1479	MG_1479	MG_1479
MG_1480	MG_1480	MG_1480
MG_1481	MG_1481	MG_1481
MG_1482	MG_1482	MG_1482
MG_1483	MG_1483	MG_1483
MG_1484	MG_1484	MG_1484
MG_1485	MG_1485	MG_1485
MG_1486	MG_1486	MG_1486
MG_1487	MG_1487	MG_1487
MG_1489	MG_1489	MG_1489
MG_1490	MG_1490	MG_1490
MG_1491	MG_1491	MG_1491
MG_1492	MG_1492	MG_1492
MG_1493	MG_1493	MG_1493
MG_1494	MG_1494	MG_1494
MG_1495	MG_1495	MG_1495
MG_1496	MG_1496	MG_1496
MG_1497	MG_1497	MG_1497
MG_1498	MG_1498	MG_1498
MG_1499	MG_1499	MG_1499
MG_1500	MG_1500	MG_1500
MG_1501	MG_1501	MG_1501
MG_1502	MG_1502	MG_1502
MG_1504	MG_1504	MG_1504
MG_1505	MG_1505	MG_1505
MG_1506	MG_1506	MG_1506
MG_1509	MG_1509	MG_1509
MG_488	MG_488	MG_488
MG_1022	MG_1022	MG_1022
MG_506	MG_506	MG_506
MG_630	MG_630	MG_630
MG_745	MG_745	MG_745
MG_510	MG_510	MG_510
MG_829	MG_829	MG_829
MG_293	MG_293	MG_293
MG_762	MG_762	MG_762
MG_1019	MG_1019	MG_1019
MG_279	MG_279	MG_279
MG_528	MG_528	MG_528
MG_980	MG_980	MG_980
MG_596	MG_596	MG_596
MG_870	MG_870	MG_870
MG_387	MG_387	MG_387
MG_151	MG_151	MG_151
MG_682	MG_682	MG_682
MG_340	MG_340	MG_340
MG_342	MG_342	MG_342
MG_353	MG_353	MG_353
MG_356	MG_356	MG_356
MG_362	MG_362	MG_362
MG_363	MG_363	MG_363
MG_365	MG_365	MG_365
MG_366	MG_366	MG_366
MG_381	MG_381	MG_381
MG_382	MG_382	MG_382
MG_400	MG_400	MG_400
MG_401	MG_401	MG_401
MG_443	MG_443	MG_443
MG_447	MG_447	MG_447
MG_455	MG_455	MG_455
MG_457	MG_457	MG_457
MG_458	MG_458	MG_458
MG_477	MG_477	MG_477
MG_480	MG_480	MG_480
MG_486	MG_486	MG_486
MG_508	MG_508	MG_508
MG_511	MG_511	MG_511
MG_522	MG_522	MG_522
MG_552	MG_552	MG_552
MG_556	MG_556	MG_556
MG_568	MG_568	MG_568
MG_569	MG_569	MG_569
MG_574	MG_574	MG_574
MG_579	MG_579	MG_579
MG_598	MG_598	MG_598
MG_600	MG_600	MG_600
MG_606	MG_606	MG_606
MG_610	MG_610	MG_610
MG_612	MG_612	MG_612
MG_614	MG_614	MG_614
MG_615	MG_615	MG_615
MG_620	MG_620	MG_620
MG_621	MG_621	MG_621
MG_628	MG_628	MG_628
MG_631	MG_631	MG_631
