SampleID	height	tiller	wetWeight
K4098Hf	99	31	147.39
N4123Ha	113	11	103.36
N4123Hb	111	11	149.66
N4123Hc	114	15	154.21
N4123Hd	107	13	147.74
N4123He	115	19	146.52
N4123Hf	114	17	173.58
N4125Ha	99	27	146.49
N4125Hb	104	35	187.13
N4125Hc	106	26	149.89
N4125Hd	102	30	163.3
N4125He	98	26	132.26
N4125Hf	105	22	137.41
P4133Ha	84	35	141.04
P4133Hb	84	23	103.26
P4133Hc	84	24	111.8
P4133Hd	90	27	141.57
P4133He	82	26	122.32
P4133Hf	87	25	114.52
P4138Ha	95	11	87.87
P4138Hb	97	9	64.18
P4138Hc	116	10	132.24
P4138Hd	115	12	140.76
P4138He	115	13	138.96
P4138Hf	113	11	118.34
P4139Ha	98	16	84.74
P4139Hb	98	16	95.33
P4139Hc	102	23	187.31
P4139Hd	101	25	155.34
P4139He	101	24	163.94
P4139Hf	100	24	180.74
P4140Ha	68	16	64.25
P4140Hb	71	31	183.76
P4140Hc	70	35	145.16
P4140Hd	71	36	151.86
P4140He	69	29	130.15
P4140Hf	69	34	137.46
Q4145Ha	76	35	144.21
Q4145Hb	76	38	176.04
Q4145Hc	83	31	134.68
Q4145Hd	73	39	149.23
Q4145He	77	45	205.72
Q4145Hf	75	29	116.07
Q4147Ha	70	15	50.92
Q4147Hb	69	32	102.57
Q4147Hc	73	32	151.68
Q4147Hd	70	30	153.28
Q4147He	74	23	94.37
Q4147Hf	75	28	140.04
Q4148Ha	71	15	60.57
Q4148Hb	84	27	118.24
Q4148Hc	83	31	151.7
Q4148Hd	77	28	112.52
Q4148He	78	14	53.51
Q4148Hf	79	28	133.84
Q4149Ha	95	24	104.99
Q4149Hb	94	29	141.15
Q4149Hc	89	19	90.45
Q4149Hd	89	27	123.77
Q4149He	76	18	78.06
Q4149Hf	88	30	156.91
Q4150Ha	98	47	170.28
Q4150Hb	100	45	177.51
Q4150Hc	102	53	197.6
Q4150Hd	102	47	176.94
Q4150He	102	56	231.54
Q4150Hf	103	40	167.32
R4160Ha	82	40	132.68
R4160Hb	80	37	147.58
R4160Hc	83	54	200.89
R4160Hd	81	37	165.33
R4160He	82	28	123.42
R4160Hf	86	53	233.91
S4170Ha	94	33	193.22
S4170Hb	95	37	183.05
S4170Hc	94	31	148.47
S4170Hd	100	32	154.11
S4170He	98	32	174.3
S4170Hf	95	30	154.09
T4171Ha	102	34	187.27
T4171Hb	90	42	148.99
T4171Hc	98	31	180.78
