SampleID	height	tiller	wetWeight
M4119Ha	68	25	63.29
M4119Hb	64	24	56.95
M4119Hc	61	96	114.89
M4119Hd	60	22	51.34
M4119He	64	27	71.44
M4119Hf	68	49	123.33
M4120Ha	70	39	133.52
M4120Hb	62	34	87.52
M4120Hc	68	35	143.01
M4120Hd	60	37	75.4
M4120He	71	39	160.38
M4120Hf	65	19	63.9
N4121Ha	71	19	46.83
N4121Hb	76	42	137.72
N4121Hc	69	17	41.7
N4121Hd	80	35	150.76
N4121He	76	33	104.74
N4121Hf	71	19	46.67
N4122Ha	80	27	99.8
N4122Hb	81	25	135.36
N4122Hc	87	21	138.96
N4122Hd	81	22	96.77
N4122He	85	36	169.83
N4122Hf	87	41	117.8
N4124Ha	78	29	105.09
N4124Hb	67	28	51.9
N4124Hc	73	28	82.7
N4124Hd	72	24	70.29
N4124He	84	50	194.72
N4124Hf	80	33	127.78
N4126Ha	43	41	87.99
N4126Hb	42	51	122.86
N4126Hc	42	36	76.66
N4126Hd	41	23	45.46
N4126He	42	50	106.33
N4126Hf	42	39	87.15
N4127Ha	65	13	39.89
N4127Hb	72	20	58.47
N4127Hc	67	21	74.6
N4128Ha	65	35	80.44
N4128Hb	75	37	121.45
N4128Hc	63	21	43.98
N4128Hd	74	59	172.95
N4128He	69	20	58.32
N4128Hf	85	26	120.49
N4129Ha	61	13	29.97
N4129Hb	66	18	42.15
N4130Ha	75	32	111.27
N4130Hb	75	31	113.75
N4130Hc	73	33	77.88
N4130Hd	71	44	140.33
N4130He	71	26	76.74
N4130Hf	70	23	69.79
P4131Ha	85	22	109.84
P4131Hb	85	29	127.85
P4131Hc	88	22	90.84
P4131Hd	83	32	130.52
P4131He	78	34	132.81
P4131Hf	87	29	107.99
P4132Ha	90	31	178.92
P4132Hb	100	22	143.68
P4132Hc	97	21	175.57
P4132Hd	95	20	98.29
P4132He	92	17	109.66
P4132Hf	100	27	151.58
P4134Ha	70	45	125.87
P4134Hb	71	46	123.99
P4134Hc	71	44	122.15
P4134Hd	69	47	103.37
P4134He	75	41	128.05
P4134Hf	70	38	109.95
P4135Ha	84	40	139.38
P4135Hb	81	28	92.12
P4135Hc	82	47	129.9
P4135Hd	78	39	102.07
P4135He	79	23	54.6
P4135Hf	83	36	125.7
Q4141Ha	68	40	131.37
S4168Ha	94	45	207.97
S4168Hb	79	32	128.19
S4168Hc	77	40	152.01
S4168Hd	83	27	110.03
S4168He	80	21	71.28
S4168Hf	84	26	78.26
S4169Ha	71	26	70.12
S4169Hb	78	24	73.6
S4169Hc	74	25	78.46
S4169Hd	79	11	35.09
S4169He	77	31	95.73
S4169Hf	79	16	54.18
T4172Ha	82	22	114.85
T4172Hb	79	25	95.89
T4172Hc	93	23	121.89
T4172Hd	78	22	92.38
T4172He	85	19	66.92
T4172Hf	85	18	81.45
T4174Ha	93	30	141.63
T4174Hb	93	42	235.04
T4174Hc	95	27	128.97
T4174Hd	95	20	81.89
T4174He	96	26	108.63
T4174Hf	92	19	80.69
W4193Ha	70	21	71.5
W4193Hb	73	27	77.37
W4193Hc	75	22	86.21
W4193Hd	69	15	57.75
W4193He	69	21	65.12
W4193Hf	75	20	72.12
W4194Ha	77	23	85.65
W4194Hb	86	26	133.6
W4194Hc	77	18	81.42
W4194Hd	74	21	67.29
W4194He	70	12	62.24
W4194Hf	75	27	99.12
W4200Ha	77	46	106.44
W4200Hb	75	42	98.9
W4200Hc	79	30	62.68
W4200Hd	78	43	100.4
W4200He	77	44	87.31
W4200Hf	79	42	108.5
X4203Ha	70	28	76.87
X4203Hb	80	44	131
X4203Hc	76	48	147.67
X4203Hd	77	25	68.92
X4203He	70	48	137.05
X4203Hf	76	35	98.61
X4205Ha	88	15	74.72
X4205Hb	84	16	71.31
X4205Hc	88	12	45.86
X4205Hd	85	27	108.92
X4205He	92	16	62.99
X4205Hf	79	12	39.52
X4207Ha	88	52	183.83
X4207Hb	73	32	116.61
X4207Hc	70	37	123.76
X4207Hd	70	41	136.27
X4207He	72	40	139.47
X4207Hf	73	37	148.88
X4208Ha	106	24	166.92
X4208Hb	97	33	149.96
X4208Hc	84	13	70.98
X4208Hd	87	16	47.96
X4208He	94	19	74.42
X4208Hf	89	37	132.79
X4209Ha	82	17	78.74
X4209Hb	74	20	55.15
X4209Hc	77	20	70.21
X4209Hd	75	15	43.75
X4209He	85	16	69.57
X4209Hf	76	18	67.06
Y4212Ha	48	31	107.14
Y4212Hb	54	30	114.41
Y4212Hc	52	31	74.84
Y4212Hd	56	23	77.77
Y4212He	53	21	72.31
Y4212Hf	56	20	72.74
Y4213Ha	68	18	60.42
Y4213Hb	70	21	102.42
Y4213Hc	67	20	77.5
Y4213Hd	62	27	82.57
Y4213He	65	26	81.56
Y4213Hf	72	17	85.04
Y4214Ha	65	21	135.92
Y4214Hb	63	19	112.16
Y4214Hc	58	20	97.22
Y4215Ha	54	41	93.3
Y4215Hb	52	33	71.29
Y4215Hc	55	42	98.84
Y4215Hd	51	37	81.55
Y4215He	53	32	73.27
Y4215Hf	56	33	78.6
D4040Ha	76	19	66.27
D4040Hb	75	20	57.16
D4040Hc	82	34	96.96
D4040Hd	84	29	87.85
D4040He	82	34	138.95
D4040Hf	77	16	45.44
F4057Ha	60	27	91.57
F4057Hb	52	21	67.84
F4057Hc	54	37	108.47
F4057Hd	55	23	73.39
F4057He	57	39	122.21
F4057Hf	57	31	106.05
J4087Ha	78	39	132.53
J4087Hb	70	27	64.86
J4087Hc	83	34	113.24
J4087Hd	77	31	68.65
J4087He	76	36	115.33
J4087Hf	77	37	109.94
Q4142Ha	88	17	80.38
Q4142Hb	89	16	73.69
Q4142Hc	84	18	79.15
Q4142Hd	90	8	31.61
Q4142He	88	16	74.2
Q4142Hf	85	22	78.4
Q4143Ha	72	23	79.61
Q4143Hb	66	26	78.07
Q4143Hc	70	24	76.13
Q4143Hd	72	24	76.89
Q4143He	75	26	104.8
Q4143Hf	67	17	58.87
Q4144Ha	62	24	68.54
Q4144Hb	64	26	64.3
Q4144Hc	58	31	68.54
Q4144Hd	62	36	82.74
Q4144He	62	37	96.86
Q4144Hf	66	27	64.53
Q4146Ha	67	24	71.55
Q4146Hb	58	24	51.89
Q4146Hc	61	18	48.03
Q4146Hd	61	27	76.04
Q4146He	59	24	62.28
Q4146Hf	58	31	76.3
R4151Ha	87	24	76.45
R4151Hb	85	30	98.87
R4151Hc	89	21	86.77
R4151Hd	86	30	96.03
R4151He	92	27	98.21
R4151Hf	91	19	77.19
R4152Ha	75	18	63.36
R4152Hb	77	23	99.13
R4152Hc	77	27	86.12
R4152Hd	79	27	82.75
R4152He	82	24	87.38
R4152Hf	71	31	125.66
R4153Ha	79	16	49.61
R4153Hb	94	39	142.16
R4153Hc	89	37	129.42
R4153Hd	88	26	78.93
R4153He	82	47	150.96
R4153Hf	91	27	91.96
R4154Ha	59	31	52.15
R4154Hb	61	36	50.24
R4154Hc	59	35	63.88
R4154Hd	66	38	74.08
R4154He	64	47	99.72
R4154Hf	66	31	63.09
R4156Ha	76	22	77.11
R4156Hb	88	28	115.64
R4156Hc	77	37	141.62
R4156Hd	82	35	132.31
R4156He	73	28	92.26
R4156Hf	85	31	132.91
R4157Ha	83	37	120.43
R4157Hb	72	26	70.38
R4157Hc	87	33	120.59
R4157Hd	73	25	66.08
R4157He	80	26	116.12
R4157Hf	84	22	82.14
R4159Ha	75	18	95.32
S4161Ha	66	25	39.36
S4161Hb	71	23	60.73
S4161Hc	64	34	63.29
S4161Hd	75	42	92.13
S4161He	70	21	45.16
S4161Hf	63	28	49.64
S4162Ha	68	22	48.59
S4162Hb	75	44	134.69
S4162Hc	74	38	94.36
S4162Hd	74	49	138.11
S4162He	68	37	112.07
S4162Hf	81	29	74.28
S4163Ha	65	30	53.08
S4163Hb	76	30	71.67
S4163Hc	64	35	54.64
S4163Hd	75	34	94.8
S4163He	73	41	88.21
S4163Hf	73	31	63.92
S4165Ha	84	21	83.62
S4165Hb	79	28	94.79
S4165Hc	78	29	119.34
S4165Hd	85	30	0
S4165He	78	27	100.27
S4165Hf	63	20	39.24
S4167Ha	90	15	60.19
S4167Hb	92	15	66.79
S4167Hc	92	15	68.65
S4167Hd	92	17	72.51
S4167He	93	16	58.55
S4167Hf	83	15	41.01
B4017La	90	10	53.74
B4017Lb	88	9	52.84
B4017Lc	98	8	54.06
B4017Ld	97	9	57.23
B4017Le	90	9	53.6
B4017Lf	92	6	30.48
B4017Lg	99	9	49.38
B4017Lh	102	9	44.95
B4017Li	89	9	58.92
D4032La	71	10	45.45
D4032Lb	69	12	60.82
D4032Lc	71	12	47.78
D4032Ld	71	12	57.46
D4032Le	72	11	56.25
D4032Lf	70	8	45.19
D4032Lg	72	14	55.86
D4032Lh	63	14	48.91
D4032Li	68	11	58.24
E4041La	62	21	51.83
E4041Lb	65	24	60.63
E4041Lc	63	27	64.47
E4041Ld	58	19	32.6
E4041Le	63	20	41.42
E4041Lf	63	24	57.81
E4041Lg	67	25	56.24
E4041Lh	66	25	56.2
E4041Li	66	24	68.53
E4042La	71	20	58.67
E4042Lb	57	28	53.82
E4042Lc	57	26	54.02
E4042Ld	61	18	39.13
E4042Le	73	18	42.12
E4042Lf	76	14	41.45
E4042Lg	59	26	44.4
E4042Lh	57	24	36.32
E4042Li	67	10	30.66
E4046La	61	18	46.48
E4046Lb	79	14	61.28
E4046Lc	85	13	76.68
E4046Ld	71	18	70.51
E4046Le	71	15	59.81
E4046Lf	60	13	46.01
E4046Lg	67	10	49.14
E4046Lh	81	15	79.16
E4046Li	75	15	67.96
E4047La	57	13	38.76
E4047Lb	57	22	53.18
E4047Lc	58	13	32.36
E4047Ld	55	15	35.21
E4047Le	56	14	33.95
E4047Lf	57	16	35.28
E4047Lg	54	21	49.45
E4047Lh	61	20	54.17
E4047Li	55	13	29.02
E4048La	65	18	55.95
E4048Lb	55	18	42.25
E4048Lc	54	20	27.91
E4048Ld	68	7	26.9
E4048Le	55	7	14.48
E4048Lf	63	17	53.23
E4048Lg	62	15	38.52
E4048Lh	61	16	41.7
E4048Li	65	14	34.27
E4050La	74	14	54.93
E4050Lb	62	16	57.34
E4050Lc	75	11	47.39
E4050Ld	72	17	65.44
E4050Le	73	17	53.32
E4050Lf	76	18	63.3
E4050Lg	78	19	74.82
E4050Lh	68	15	49.21
E4050Li	69	16	58.39
F4051La	77	16	54.61
F4051Lb	71	18	72.17
F4051Lc	73	15	55.24
F4051Ld	74	16	57.77
F4051Le	73	15	58.24
F4051Lf	70	13	44.35
F4051Lg	76	16	59.96
F4051Lh	76	12	44.15
F4051Li	73	18	54.45
F4053La	71	14	60.04
F4053Lb	74	18	80.94
F4053Lc	72	13	53.59
F4053Ld	70	15	67.8
F4053Le	66	18	66.25
F4053Lf	67	12	56.79
F4053Lg	69	12	41.13
F4053Lh	70	15	66.31
F4053Li	86	16	72.83
F4054La	62	16	51.91
F4054Lb	65	18	63.7
F4054Lc	67	12	46.83
F4054Ld	64	14	48.35
F4054Le	62	11	28.04
F4054Lf	63	16	58.56
F4054Lg	63	11	46.41
F4054Lh	65	15	54.7
F4054Li	63	15	49.77
F4055La	67	10	48.09
F4055Lb	69	12	58.51
F4055Lc	70	10	43.89
F4055Ld	67	11	45.66
F4055Le	67	9	46.96
F4055Lf	65	9	51.72
F4055Lg	62	9	39.52
F4055Lh	72	9	54.05
F4055Li	69	15	60.71
F4059La	74	12	64.67
F4059Lb	66	10	42.02
F4059Lc	70	11	42.45
F4059Ld	80	14	66.2
F4059Le	62	9	32.56
F4059Lf	65	8	31.14
F4059Lg	77	8	32.42
F4059Lh	74	11	45.61
F4059Li	74	13	51.19
F4060La	51	12	44.08
F4060Lb	53	13	42.02
F4060Lc	47	14	41.15
F4060Ld	46	9	21.32
F4060Le	47	14	37.99
F4060Lf	52	13	42.84
F4060Lg	52	10	31.07
F4060Lh	53	18	47.63
F4060Li	48	17	32.75
J4086La	67	17	30.22
J4086Lb	58	10	23.11
J4086Lc	80	8	32.15
J4086Ld	53	11	17.92
J4086Le	62	10	28.27
J4086Lf	43	11	11.73
H4072La	70	13	49.52
H4072Lb	83	16	66.61
H4072Lc	81	18	78.68
H4072Ld	81	20	95.34
H4072Le	79	16	65.95
H4072Lf	80	15	64.23
H4072Lg	76	14	50.97
H4072Lh	76	15	61.79
H4072Li	85	17	81.69
H4074La	52	15	46.91
H4074Lb	53	11	44.55
H4074Lc	54	12	46.4
H4074Ld	48	9	29.94
H4074Le	55	11	35.78
H4074Lf	56	12	45.04
H4074Lg	58	11	43.85
H4074Lh	58	10	37.08
H4074Li	58	10	38.54
H4071La	58	7	15.61
H4071Lb	76	7	36.79
H4071Lc	63	7	22.1
J4081La	59	9	28.13
J4081Lb	58	6	18.99
J4081Lc	50	8	24.74
J4081Ld	55	9	22.81
J4081Le	61	11	40.74
J4081Lf	55	11	26.9
J4081Lg	56	6	25.12
J4081Lh	49	11	30.98
J4081Li	53	9	39.19
J4082La	61	7	40.06
J4082Lb	69	6	30.69
J4082Lc	72	4	27.31
J4082Ld	72	6	24.25
J4082Le	73	6	36.48
J4082Lf	74	5	33.85
J4082Lg	67	6	27.25
J4082Lh	93	8	48.05
J4082Li	73	7	31.2
J4083La	67	16	61.35
J4083Lb	57	17	49.96
J4083Lc	51	10	38.62
J4083Ld	66	12	52.53
J4083Le	59	17	60.6
J4083Lf	68	15	57.76
J4084La	75	11	59.76
J4084Lb	79	10	66.42
J4084Lc	77	11	59.24
J4084Ld	79	14	74.81
J4084Le	72	10	63.69
J4084Lf	67	9	47.44
J4085La	75	8	43.56
J4085Lb	76	8	47.82
J4085Lc	73	6	36.86
J4085Ld	77	9	42.42
J4085Le	72	9	44.14
J4085Lf	73	3	28.52
J4088La	75	19	61.06
J4088Lb	74	19	68.33
J4088Lc	75	17	61.05
J4088Ld	74	16	55.88
J4088Le	73	20	74.24
J4088Lf	71	17	59.22
J4089La	50	11	26.09
J4089Lb	67	21	62.45
J4089Lc	62	13	44.94
J4089Ld	65	15	47.04
J4089Le	67	15	54.11
J4089Lf	69	12	38.12
J4090La	63	12	38.83
J4090Lb	60	13	34.94
J4090Lc	61	11	31.6
J4090Ld	67	12	35.18
J4090Le	53	7	18.7
J4090Lf	63	11	36
K4091La	95	6	51.23
K4091Lb	79	6	53.58
K4091Lc	86	5	38.41
K4091Ld	87	7	50.16
K4091Le	94	7	45.26
K4091Lf	97	5	47.22
K4098La	74	8	38.54
K4098Lb	78	12	59.74
K4098Lc	89	16	86.97
K4098Ld	84	13	60.3
K4098Le	73	11	42.48
K4098Lf	78	15	67.61
N4123La	80	7	53.19
N4123Lb	95	7	60.01
N4123Lc	91	10	67.83
N4123Ld	99	9	61.58
N4123Le	89	9	56.58
N4123Lf	88	8	49.91
N4125La	83	14	67.43
N4125Lb	82	8	36.63
N4125Lc	92	13	55.8
N4125Ld	89	14	64.9
N4125Le	97	10	54.54
N4125Lf	93	9	44.81
P4133La	75	14	58.84
P4133Lb	71	12	51.72
P4133Lc	72	11	55.63
P4133Ld	70	14	58.92
P4133Le	70	9	40.61
P4133Lf	64	15	50.23
P4138La	103	7	57
P4138Lb	80	5	38.88
P4138Lc	96	8	60.81
P4138Ld	103	8	56.56
P4138Le	105	5	50.03
P4138Lf	105	8	63.14
P4139La	84	7	51.03
P4139Lb	64	7	19.7
P4139Lc	87	7	49.67
P4139Ld	83	7	40.11
P4139Le	87	11	79.16
P4139Lf	89	8	56.62
P4140La	43	7	21.7
P4140Lb	46	7	25.16
P4140Lc	54	16	59.22
P4140Ld	48	13	43.68
P4140Le	54	14	49.7
P4140Lf	54	14	45.35
Q4145La	58	21	50.61
Q4145Lb	51	20	55.45
Q4145Lc	53	19	56.31
Q4145Ld	52	17	50.78
Q4145Le	54	17	47.17
Q4145Lf	52	18	43.39
Q4147La	56	10	41.17
Q4147Lb	61	14	60.18
Q4147Lc	61	9	43.9
Q4147Ld	52	10	36.45
Q4147Le	55	12	44.66
Q4147Lf	68	14	66.68
Q4148La	66	12	54.9
Q4148Lb	74	12	54.09
Q4148Lc	59	8	36.39
Q4148Ld	63	10	43.8
Q4148Le	72	11	51.25
Q4148Lf	74	11	45.74
Q4149La	81	12	60.79
Q4149Lb	85	10	49.48
Q4149Lc	78	10	49.02
Q4149Ld	80	10	50.53
Q4149Le	80	11	59.72
Q4149Lf	77	8	34.9
Q4150La	69	30	62.76
Q4150Lb	68	28	62.79
Q4150Lc	69	33	76.58
Q4150Ld	70	31	69.91
Q4150Le	68	36	73.36
Q4150Lf	70	35	84.73
R4160La	70	20	78.37
R4160Lb	71	22	78.99
R4160Lc	66	18	51.57
R4160Ld	78	11	38.14
R4160Le	68	18	71.16
R4160Lf	75	20	66.32
S4170La	75	15	65.7
S4170Lb	71	17	80.82
S4170Lc	70	12	36.86
S4170Ld	76	11	53.67
S4170Le	70	16	53.63
S4170Lf	80	15	73.46
T4171La	87	19	74.01
T4171Lb	91	20	91.52
T4171Lc	80	13	51.23
T4171Ld	77	21	71.4
T4171Le	94	17	78.09
T4171Lf	73	16	53.07
T4173La	93	12	62.63
T4173Lb	89	17	78.2
T4173Lc	91	16	84.18
T4173Ld	93	17	81.12
T4173Le	80	16	78.14
T4173Lf	93	15	65.33
T4175La	93	19	76.9
T4175Lb	75	13	64.01
T4175Lc	77	16	63.7
T4175Ld	93	23	102.6
T4175Le	82	17	72.88
T4175Lf	99	18	85.32
G4061La	48	7	13.68
G4061Lb	50	10	24.97
G4067La	76	6	30.39
G4067Lb	48	5	11.5
G4067Lc	89	10	42.59
G4067Ld	62	9	23.24
G4067Le	61	8	25.65
G4067Lf	102	9	43.4
T4176La	84	14	96.16
T4176Lb	90	15	97.39
T4176Lc	73	12	75.27
T4176Ld	77	14	65.94
T4176Le	73	20	120.94
T4176Lf	79	18	108.46
T4177La	72	9	53.66
T4177Lb	93	9	67.6
T4177Lc	78	8	54.71
T4177Ld	90	9	74.2
T4177Le	88	10	79.27
T4177Lf	92	8	57.63
T4178La	80	26	87.27
T4178Lb	74	33	101.85
T4178Lc	74	26	71.55
T4178Ld	68	17	41.91
T4178Le	71	34	83.39
T4178Lf	75	32	104.01
T4179La	72	10	46.02
T4179Lb	78	10	44.87
T4179Lc	75	10	45.65
T4179Ld	72	10	42.97
T4179Le	82	10	53.08
T4179Lf	82	5	27
W4195La	69	19	63.45
W4195Lb	67	14	44.85
W4195Lc	67	13	38.47
W4195Ld	71	14	55.52
W4195Le	68	14	45.09
W4195Lf	67	19	61.95
W4196La	71	15	57.74
W4196Lb	68	14	63.78
W4196Lc	64	11	30.69
W4196Ld	66	9	46.85
W4196Le	73	14	60.48
W4196Lf	72	13	52.64
W4197La	93	12	69.25
W4197Lb	93	10	48.95
W4197Lc	89	10	61.07
W4197Ld	91	9	59.13
W4197Le	87	12	93.46
W4197Lf	83	12	68.1
W4198La	68	10	35.08
W4198Lb	61	9	20
W4198Lc	63	10	25.52
W4198Ld	67	10	26.81
W4198Le	68	12	35.48
W4198Lf	60	8	22.73
W4199La	66	12	35.08
W4199Lb	62	13	38.32
W4199Lc	67	12	41.44
W4199Ld	66	11	40.87
W4199Le	63	7	19.21
W4199Lf	57	11	32.26
X4204La	52	20	50.94
X4204Lb	64	16	41.39
X4204Lc	54	18	43.65
X4204Ld	52	23	49.34
X4204Le	55	17	46.3
X4204Lf	55	19	51.42
Y4211La	91	8	58.16
Y4211Lb	103	8	69.35
Y4211Lc	95	7	59.01
Y4211Ld	98	9	70.94
Y4211Le	96	6	48.28
Y4211Lf	98	7	60.88
A4001La	68	16	52.88
A4001Lb	72	13	52.18
A4001Lc	72	16	56.06
A4001Ld	69	11	41.67
A4001Le	78	19	77.27
A4001Lf	70	9	38.94
A4002La	54	10	42.87
A4002Lb	55	9	31.32
A4002Lc	60	12	47.4
A4002Ld	56	15	51.01
A4002Le	57	12	49.58
A4002Lf	56	9	45.7
A4004La	46	20	56.01
A4004Lb	46	28	68.4
A4004Lc	44	21	46.6
A4004Ld	47	17	39.47
A4004Le	58	25	84.17
A4004Lf	43	21	47.61
A4008La	62	16	44.06
A4008Lb	63	17	57.01
A4008Lc	66	24	52.63
A4008Ld	61	11	33.41
A4008Le	65	22	62.95
A4008Lf	67	25	84.87
A4010La	64	14	37.76
A4010Lb	60	17	30.93
A4010Lc	69	21	57.76
A4010Ld	64	21	59.7
A4010Le	66	19	53.76
A4010Lf	69	21	61.82
B4020La	79	10	53.61
B4020Lb	90	11	54.64
B4020Lc	84	10	50.67
B4020Ld	87	11	53.89
B4020Le	89	8	46.12
B4020Lf	80	11	42.61
C4021La	91	8	63.33
C4021Lb	96	6	46.13
C4021Lc	93	6	49.36
C4021Ld	92	6	51.13
C4021Le	95	7	60.43
C4021Lf	89	7	61.84
C4022La	71	9	46.06
C4022Lb	67	9	41.92
C4022Lc	67	6	39.47
C4022Ld	66	8	39.92
C4022Le	67	9	58.31
C4022Lf	65	8	41.21
C4027La	90	7	39.37
C4027Lb	87	10	46.45
C4027Lc	88	11	63.97
C4027Ld	86	9	45.38
C4027Le	90	9	45.2
C4027Lf	88	9	69.18
E4044La	77	11	54.41
E4044Lb	72	10	39.61
E4044Lc	70	12	41.52
E4044Ld	68	8	33.65
E4044Le	72	12	49.94
E4044Lf	72	9	45.09
F4058La	67	12	43.11
F4058Lb	60	7	17.25
F4058Lc	60	5	16.15
F4058Ld	55	7	21.65
F4058Le	59	9	24.57
F4058Lf	57	12	36.54
G4065La	65	13	39.88
G4065Lb	76	10	32.89
G4065Lc	60	10	78.36
G4065Ld	62	13	32.06
G4065Le	66	12	29.14
G4065Lf	71	8	24.08
G4068La	76	7	27.27
G4068Lb	73	10	42.63
G4068Lc	89	8	41.04
G4068Ld	73	8	29.2
G4068Le	81	8	32.8
G4068Lf	94	13	73.43
G4069La	76	9	46.65
G4069Lb	75	11	58.69
G4069Lc	78	11	58.91
G4069Ld	76	10	47.56
G4069Le	77	12	59.94
G4069Lf	77	14	62.75
H4078La	69	10	36.88
H4078Lb	62	8	22.58
H4078Lc	57	7	20.51
H4078Ld	63	9	29.08
H4078Le	76	11	48.53
H4078Lf	69	9	31.5
H4079La	99	13	49.96
H4079Lb	93	13	69.87
H4079Lc	93	15	72.5
H4079Ld	96	12	56.17
H4079Le	85	12	50.85
H4079Lf	100	13	72.46
K4097La	81	15	101.82
K4097Lb	57	12	29.76
K4097Lc	90	13	84.74
K4097Ld	77	11	61.33
K4097Le	82	13	66.21
K4097Lf	64	9	32.68
K4099La	71	14	34.25
K4099Lb	60	14	22.79
K4099Lc	63	14	39.72
K4099Ld	78	18	62.82
K4099Le	79	20	70.17
K4099Lf	71	15	61.15
L4101La	82	12	60.25
L4101Lb	81	14	64.36
L4101Lc	88	10	61.4
L4101Ld	87	9	45.33
L4101Le	83	8	35.09
L4101Lf	86	11	68.05
L4103La	99	11	51.62
L4103Lb	79	9	24.47
L4103Lc	76	8	29.6
L4103Ld	83	11	46.2
L4103Le	83	12	51.04
L4103Lf	85	13	53.15
L4107La	52	10	22.85
L4107Lb	73	11	60.64
L4107Lc	62	10	19.22
L4107Ld	72	8	24.27
L4107Le	77	8	31.3
L4107Lf	67	10	38.25
L4108La	82	10	50.36
L4108Lb	102	13	69.81
L4108Lc	106	11	68.47
L4108Ld	101	11	59.01
L4108Le	84	10	51.62
L4108Lf	74	8	42.83
L4109La	90	7	39.91
L4109Lb	96	10	55.85
L4109Lc	85	11	56.79
L4109Ld	88	8	46.03
L4109Le	90	9	37.26
L4109Lf	87	8	43.42
L4110La	73	15	51.18
L4110Lb	75	20	60.24
L4110Lc	76	23	80.72
L4110Ld	66	11	40.66
L4110Le	72	19	65.79
L4110Lf	79	13	43.86
P4136La	107	13	81.32
P4136Lb	100	10	62.5
P4136Lc	98	9	64.12
P4136Ld	101	8	60.09
P4136Le	99	8	56.56
P4136Lf	97	10	68.99
R4155La	71	13	67.75
R4155Lb	91	12	76.84
R4155Lc	76	14	67.3
R4155Ld	95	14	87.25
R4155Le	79	13	72.65
R4155Lf	68	9	40.72
R4158La	64	14	48.8
R4158Lb	67	10	42.52
R4158Lc	68	12	49.92
R4158Ld	71	10	56.46
R4158Le	67	13	61.25
R4158Lf	71	11	57.28
S4166La	77	25	88.53
S4166Lb	73	24	75.75
S4166Lc	70	20	66.11
S4166Ld	73	19	69.52
S4166Le	70	23	69.18
S4166Lf	72	23	66.71
X4206La	84	8	58.92
X4206Lb	100	8	50.43
X4206Lc	82	6	38.95
X4206Ld	100	7	59.41
X4206Le	105	8	55.69
X4206Lf	93	8	60.56
X4210La	47	23	37.34
X4210Lb	48	23	48.18
X4210Lc	44	18	34.86
X4210Ld	47	16	35.29
X4210Le	49	18	41.15
X4210Lf	51	20	51.64
Y4216La	61	14	60.75
Y4216Lb	56	10	37.6
Y4216Lc	59	12	46.7
Y4216Ld	60	14	58.41
Y4216Le	50	10	29.24
Y4216Lf	53	9	35.85
Y4207La	70	13	48.05
Y4207Lb	69	18	63.92
Y4207Lc	62	13	51.42
Y4207Ld	59	12	40.3
Y4207Le	68	14	46.39
Y4207Lf	68	13	44.62
U5000La	104	12	79.27
U5000Lb	96	11	74.47
U5000Lc	97	12	71.04
U5000Ld	90	11	61.95
U5000Le	91	14	66.44
U5000Lf	91	10	56.34
U5001La	77	9	50.96
U5001Lb	73	13	49.4
U5001Lc	92	11	58.88
U5001Ld	72	10	48.77
U5001Le	70	8	43.3
U5001Lf	72	9	38.22
U5100La	65	13	30.49
U5100Lb	69	23	54.17
U5100Lc	60	13	22.9
U5100Ld	71	21	55.74
U5100Le	71	26	63.75
U5100Lf	65	19	39.2
U5101La	69	12	42.73
U5101Lb	73	16	53.1
U5101Lc	68	11	39.27
U5101Ld	77	15	63.1
U5101Le	68	15	48.6
U5101Lf	70	12	45.01
A4003La	55	6	12.2
A4003Lb	58	13	40.94
A4003Lc	67	14	36.35
A4003Ld	60	12	22.81
A4003Le	78	8	31.94
A4003Lf	65	12	35.32
A4005La	63	8	20.64
A4005Lb	73	11	34.59
A4005Lc	63	12	29.81
A4005Ld	68	14	40.25
A4005Le	63	9	25.47
A4005Lf	71	13	30.6
A4006La	47	11	24.92
A4006Lb	43	8	16.39
A4006Lc	44	9	15.58
A4006Ld	48	8	19.18
A4006Le	44	10	18.49
A4006Lf	42	13	19.46
A4007La	56	9	17.59
A4007Lb	63	10	20.89
A4007Lc	66	8	22.63
A4007Ld	59	10	17.04
A4007Le	64	8	23.33
A4007Lf	56	10	19.49
A4009La	69	9	35.7
A4009Lb	64	11	28.17
A4009Lc	56	9	17.42
A4009Ld	71	14	41.78
A4009Le	68	11	31.48
A4009Lf	68	12	38.1
B4011La	73	10	37.65
B4011Lb	68	8	28.36
B4011Lc	73	9	34.14
B4011Ld	70	9	25.27
B4011Le	72	8	27.67
B4011Lf	72	8	35.99
B4012La	60	10	29.15
B4012Lb	59	13	28.35
B4012Lc	59	14	36.7
B4012Ld	54	15	27.68
B4012Le	56	11	24.75
B4012Lf	56	12	25.89
B4013La	66	11	37.01
B4013Lb	62	11	24.18
B4013Lc	71	16	42.26
B4013Ld	67	8	34.01
B4013Le	68	13	38.41
B4013Lf	64	9	28.11
B4014La	52	10	15.09
B4014Lb	63	12	33.68
B4014Lc	52	6	10.55
B4015La	55	15	21.45
B4015Lb	56	15	24.21
B4015Lc	56	16	25.91
B4015Ld	56	14	16.64
B4015Le	60	16	24.36
B4015Lf	59	17	33.3
B4016La	56	18	26.42
B4016Lb	49	14	18.88
B4016Lc	57	15	26.92
B4016Ld	49	9	11.9
B4016Le	41	10	16.62
B4016Lf	42	14	14.02
B4018La	69	15	34.79
B4018Lb	72	22	45.51
B4018Lc	71	16	40.57
B4018Ld	63	14	21.32
B4018Le	68	18	35.6
B4018Lf	75	18	44.75
